BIỂU MẪU NHẬP DỮ LIỆU THỦ TỤC HÀNH CHÍNH (ĐỒNG BỘ MÃ QR VÀ CÁC CỘT),,,,,,,,,,,,
"Lưu ý: Không đổi tên các cột ở Hàng 3. Cột ""Nội dung đưa vào mã QR"" có thể điền link URL hoặc nội dung văn bản để quét QR.",,,,,,,,,,,,
STT,Mã TTHC (*),Tên Thủ tục Hành chính (*),Lĩnh vực (*),"Bộ, ngành quản lý (*)",Cấp thực hiện / Thẩm quyền (*),Căn cứ pháp lý / Quyết định,Nội dung đưa vào mã QR (URL / Văn bản),BCCI Tiếp nhận (Có/Không),BCCI Trả kết quả (Có/Không),Bộ phận Một cửa (Có/Không),Dịch vụ công trực tuyến (Toàn trình/Một phần/Không),Dùng chung (Có/Không)
71,1.012892,Cho thuê nhà ở cũ thuộc tài sản công đối với trường hợp chưa có hợp đồng thuê nhà ở,Nhà ở và công sở,Bộ Xây dựng,Cấp xã,,,,,,,
72,1.000080,"Thủ tục đăng ký nhận cha, mẹ, con có yếu tố nước ngoài tại khu vực biên giới",Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
73,1.013709,Cho phép hội hoạt động trở lại sau khi bị đình chỉ có thời hạn,"Quản lý nhà nước về hội, quỹ",Bộ Nội vụ,Cấp xã,,,,,,,
74,1.013710,Hỗ trợ chi phí y tế và thu nhập thực tế bị mất hoặc giảm sút cho người đang trực tiếp tham gia hoạt động chữ thập đỏ bị tai nạn dẫn đến thiệt hại về sức khỏe,"Quản lý nhà nước về hội, quỹ",Bộ Nội vụ,Cấp xã,,,,,,,
75,1.013228,"Cấp lại giấy phép xây dựng đối với công trình cấp III, cấp IV (công trình Không theo tuyến/Theo tuyến trong đô thị/Tín ngưỡng, tôn giáo/Tượng đài, tranh hoành tráng/Sửa chữa, cải tạo/Theo giai đoạn cho công trình không theo tuyến/Theo giai đoạn cho công trình theo tuyến trong đô thị/Dự án) và nhà ở riêng lẻ",Hoạt động xây dựng,Bộ Xây dựng,Cấp xã,,,,,,,
76,2.002516,Thủ tục xác nhận thông tin hộ tịch,Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
77,1.009452,Thỏa thuận thông số kỹ thuật xây dựng bến thủy nội địa,Hàng hải và đường thủy nội địa,Bộ Xây dựng,Cấp xã,,,,,,,
78,1.012888,Công nhận Ban quản trị nhà chung cư,Nhà ở và công sở,Bộ xây dựng (Giao thông vận tải cũ),Cấp xã,,,,,,,
79,1.004884,Thủ tục đăng ký lại khai sinh,Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
80,1.000894,Thủ tục đăng ký kết hôn,Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
81,1.004873,Thủ tục cấp Giấy xác nhận tình trạng hôn nhân,Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
82,1.000314,Chấp thuận vị trí đấu nối tạm vào đường bộ đang khai thác,Đường bộ,Bộ Xây dựng,Cấp xã,,,,,,,
83,1.008004,"Chuyển đổi cơ cấu cây trồng, vật nuôi trên đất trồng lúa",Trồng trọt,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
84,1.014156,"Phê duyệt nhiệm vụ quy hoạch, nhiệm vụ điều chỉnh quy hoạch đô thị và nông thôn do nhà đầu tư đã được lựa  chọn để thực hiện dự án đầu tư tổ chức lập",Quy hoạch đô thị và nông thôn,Bộ xây dựng (Giao thông vận tải cũ),Cấp xã,,,,,,,
85,1.004047,Đăng ký phương tiện lần đầu đối với phương tiện đang khai thác trên đường thủy nội địa,Hàng hải và đường thủy nội địa,Bộ xây dựng (Giao thông vận tải cũ),Cấp xã,,,,,,,
86,1.012897,Cho thuê nhà ở cũ thuộc tài sản công đối với trường hợp nhận chuyển quyền thuê nhà ở,Nhà ở và công sở,Bộ Xây dựng,Cấp xã,,,,,,,
87,3.000442,"Sửa đổi, bổ sung Quyết định giao khu vực biển cho cá nhân Việt Nam để nuôi trồng thủy sản",Biển và hải đảo,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
88,1.014284,"Giao đất, cho thuê đất, giao khu vực biển để thực hiện hoạt động lấn biển.",Đất đai,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
89,3.000502,"Thẩm định, phê duyệt hoặc điều chỉnh phương án nuôi, trồng phát triển, thu hoạch cây dược liệu trong rừng đối với chủ rừng là hộ gia đình, cá nhân, cộng đồng dân cư",Lâm nghiệp và kiểm lâm,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
90,1.011471,"Phê duyệt Phương án khai thác gỗ, thực vật rừng ngoài gỗ loài thông thường thuộc thẩm quyền giải quyết của Ủy ban nhân dân cấp xã",Lâm nghiệp và kiểm lâm,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
91,1.013997,Hỗ trợ cơ sở sản xuất bị thiệt hại do dịch bệnh động vật (cơ sở sản xuất không thuộc lực lượng vũ trang nhân dân),Thú y,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
