BIỂU MẪU NHẬP DỮ LIỆU THỦ TỤC HÀNH CHÍNH (ĐỒNG BỘ MÃ QR VÀ CÁC CỘT),,,,,,,,,,,,
"Lưu ý: Không đổi tên các cột ở Hàng 3. Cột ""Nội dung đưa vào mã QR"" có thể điền link URL hoặc nội dung văn bản để quét QR.",,,,,,,,,,,,
STT,Mã TTHC (*),Tên Thủ tục Hành chính (*),Lĩnh vực (*),"Bộ, ngành quản lý (*)",Cấp thực hiện / Thẩm quyền (*),Căn cứ pháp lý / Quyết định,Nội dung đưa vào mã QR (URL / Văn bản),BCCI Tiếp nhận (Có/Không),BCCI Trả kết quả (Có/Không),Bộ phận Một cửa (Có/Không),Dịch vụ công trực tuyến (Toàn trình/Một phần/Không),Dùng chung (Có/Không)
333,1.005277,"Đăng ký thay đổi nội dung đăng ký hợp tác xã, liên hiệp hợp tác xã; Đăng ký thay đổi nội dung đối với trường hợp hợp tác xã, liên hiệp hợp tác xã bị tách, nhận sáp nhập","Thành lập và hoạt động của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã",Bộ Tài chính,Cấp xã,,,,,,,
334,1.004901,"Cấp đổi Giấy chứng nhận đăng ký hợp tác xã, liên hiệp hợp tác xã","Thành lập và hoạt động của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã",Bộ Tài chính,Cấp xã,,,,,,,
335,1.004979,"Thông báo thay đổi nội dung đăng ký hợp tác xã, liên hiệp hợp tác xã; Thông báo thay đổi nội dung đăng ký đối với hợp tác xã, liên hiệp hợp tác xã bị tách, nhận sáp nhập","Thành lập và hoạt động của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã",Bộ Tài chính,Cấp xã,,,,,,,
336,2.001958,"Thông báo về việc thành lập doanh nghiệp của hợp tác xã, liên hiệp hợp tác xã","Thành lập và hoạt động của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã",Bộ Tài chính,Cấp xã,,,,,,,
337,1.005378,"Đăng ký thay đổi nội dung đăng ký hoạt động của chi nhánh, văn phòng đại diện, địa điểm kinh doanh của hợp tác xã, liên hiệp hợp tác xã","Thành lập và hoạt động của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã",Bộ Tài chính,Cấp xã,,,,,,,
338,1.004982,"Đăng ký giải thể hợp tác xã, liên hiệp hợp tác xã","Thành lập và hoạt động của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã",Bộ Tài chính,Cấp xã,,,,,,,
339,1.005010,"Chấm dứt hoạt động chi nhánh, văn phòng đại diện, địa điểm kinh doanh của hợp tác xã, liên hiệp hợp tác xã","Thành lập và hoạt động của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã",Bộ Tài chính,Cấp xã,,,,,,,
340,1.115131,"Cấp phép thi công nút giao đấu nối với đường đô thị, đường xã, đường thôn đang khai thác",Quản lý kết cấu hạ tầng giao thông,UBND tỉnh Quảng Ninh,Cấp xã,,,,,,,
341,1.115130,"Chấp thuận thiết kế nút giao đấu nối với đường đô thị, đường xã, đường thôn đang khai thác",Quản lý kết cấu hạ tầng giao thông,UBND tỉnh Quảng Ninh,Cấp xã,,,,,,,
342,1.013965,"Sử dụng đất kết hợp đa mục đích, gia hạn phương án sử dụng đất kết hợp đa mục đích.",Đất đai,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
343,2.001255,Đăng ký lại việc nuôi con nuôi trong nước,Nuôi con nuôi,Bộ Tư pháp,Cấp xã,,,,,,,
344,1.013128,"Thủ tục thẩm định và phê duyệt kế hoạch ứng phó sự cố tràn dầu của các cửa hàng bán lẻ xăng dầu trên đất liền, trên sông, trên biển và các cơ sở, dự án trên địa bàn xã không thuộc đối tượng kinh doanh, vận chuyển xăng dầu có nguy cơ xảy ra sự cố tràn dầu mức độ nhỏ (dung tích chứa dưới 50 m3)",Ứng phó sự cố tràn dầu bqp,Bộ Quốc phòng,Cấp xã,,,,,,,
345,2.000884,"Chứng thực chữ ký trong các giấy tờ, văn bản (áp dụng cho cả trường hợp chứng thực điểm chỉ và trường hợp người yêu cầu chứng thực không thể ký, không thể điểm chỉ được)",Chứng thực,Bộ Tư pháp,Cấp xã,,,,,,,
346,1.011441,"Đăng ký biện pháp bảo đảm bằng quyền sử dụng đất, tài sản gắn liền với đất",Đăng ký biện pháp bảo đảm,Bộ Tư pháp,Cấp xã,,,,,,,
347,2.000992,"Chứng thực chữ ký người dịch mà người dịch là cộng tác viên dịch thuật của Ủy ban nhân dân cấp xã, tổ chức hành nghề công chứng",Chứng thực,Bộ Tư pháp,Cấp xã,,,,,,,
348,1.115148,"Thủ tục tính hoặc tính lại tiền sử dụng đất theo quy định tại các điểm a, b, c và d khoản 2 Điều 12 Nghị định số 50/2026/NĐ-CP ngày 31/01/2026 của Chính phủ",Tài chính đất đai,Bộ Tài chính,Cấp xã,,,,,,,
349,2.000942,Cấp bản sao có chứng thực từ bản chính giao dịch đã được chứng thực,Chứng thực,Bộ Tư pháp,Cấp xã,,,,,,,
350,1.115116,Đề nghị sử dụng kinh phí từ Quỹ Bảo trợ trẻ em cho người chưa thành niên là bị hại,Trẻ em,Bộ Y tế,Cấp xã,,,,,,,
351,1.013314,"Xác nhận về điều kiện diện tích bình quân nhà ở để đăng ký thường trú vào chỗ ở do thuê, mượn, ở nhờ; nhà ở, đất ở không có tranh chấp quyền sở hữu nhà ở, quyền sử dụng đất ở, không thuộc địa điểm không được đăng ký thường trú mới","Đăng ký, quản lý cư trú",Bộ Công an,Cấp xã,,,,,,,
352,1.014196,Cấp giấy xác nhận không thuộc diện cấp giấy phép lao động đối với người lao động nước ngoài làm việc tại Việt Nam,Việc làm,Bộ Nội vụ,Cấp xã,,,,,,,
353,1.014199,Cấp giấy phép lao động đối với người lao động nước ngoài làm việc tại Việt Nam,Việc làm,Bộ Nội vụ,Cấp xã,,,,,,,
354,2.002893,"Giải thể nhà trẻ, trường mẫu giáo, trường mầm non",Giáo dục mầm non,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
355,2.002891,"Thành lập hoặc cho phép thành lập nhà trẻ, trường mẫu giáo, trường mầm non",Giáo dục mầm non,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
356,1.014736,"Lựa chọn, phê duyệt dự án phát triển sản xuất liên kết theo chuỗi giá trị",Quản lý chương trình mục tiêu quốc gia,Bộ Tài chính,Cấp xã,,,,,,,
357,3.000569,Thủ tục xác nhận đăng ký hoạt động in (cấp xã),"Xuất bản, in và phát hành","Bộ Văn hóa, Thể thao và Du lịch",Cấp xã,,,,,,,
358,2.002894,"Cho phép nhà trẻ, trường mẫu giáo, trường mầm non, nhà trẻ hoạt động giáo dục",Giáo dục mầm non,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
359,2.002892,"Sáp nhập, chia, tách nhà trẻ, trường mẫu giáo, trường mầm non",Giáo dục mầm non,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
360,3.000576,Khai báo hoạt động phát hành xuất bản phẩm,"Xuất bản, in và phát hành","Bộ Văn hóa, Thể thao và Du lịch",Cấp xã,,,,,,,
361,1.013133,Thủ tục đăng ký nghĩa vụ quân sự lần đầu,Nghĩa vụ quân sự,Bộ Quốc phòng,Cấp xã,,,,,,,
362,1.115377,"Thông báo phát triển nguồn điện mặt trời mái nhà tự sản xuất, tự tiêu thụ đấu nối với hệ thống điện quốc gia tại cấp điện áp hạ áp",Điện lực,Bộ Công thương,Cấp xã,,,,,,,
363,1.013040,"Thủ tục khai, nộp phí bảo vệ môi trường đối với khí thải","Quản lý thuế, phí, lệ phí và thu khác của ngân sách nhà nước",Bộ Tài chính,Cấp xã,,,,,,,
364,1.115813,"Quảng Ninh - Giao đất ở có thu tiền sử dụng đất không thông qua đấu giá, không đấu thầu lựa chọn nhà đầu tư thực hiện dự án có sử dụng đất đối với cá nhân là cán bộ, công chức, viên chức, sĩ quan tại ngũ, quân nhân chuyên nghiệp, công chức quốc phòng, công nhân và viên chức quốc phòng, sĩ quan, hạ sĩ quan, công nhân công an, người làm công tác cơ yếu và người làm công tác khác trong tổ chức cơ yếu hưởng lương từ ngân sách nhà nước mà chưa được giao đất ở, nhà ở; giáo viên, nhân viên y tế đang công tác tại các xã biên giới, hải đảo thuộc vùng có điều kiện kinh tế - xã hội khó khăn, vùng có điều kiện kinh tế - xã hội đặc biệt khó khăn nhưng chưa có đất ở, nhà ở tại nơi công tác hoặc chưa được hưởng chính sách hỗ trợ về nhà ở theo quy định của pháp luật về nhà ở; cá nhân thường trú tại xã mà không có đất ở và chưa được Nhà nước giao đất ở hoặc chưa được hưởng chính sách hỗ trợ về nhà ở theo quy định của pháp luật về nhà ở",Đất đai,UBND tỉnh Quảng Ninh,Cấp xã,,,,,,,
365,1.115814,Quảng Ninh - Gia hạn sử dụng đất khi hết thời hạn sử dụng đất đối với trường hợp sử dụng đất không thuộc diện chấp thuận chủ trương đầu tư theo pháp luật về đầu tư (Cấp xã),Đất đai,UBND tỉnh Quảng Ninh,Cấp xã,,,,,,,
366,1.115816,"Quảng Ninh - Góp quyền sử dụng đất, điều chỉnh lại đất đai để thực hiện dự án đầu tư",Đất đai,UBND tỉnh Quảng Ninh,Cấp xã,,,,,,,
367,1.115859,"Quảng Ninh - Giao đất, cho thuê đất đối với trường hợp giao đất, cho thuê đất không đấu giá quyền sử dụng đất, không đấu thầu lựa chọn nhà đầu tư thực hiện dự án có sử dụng đất và trường hợp giao đất, cho thuê đất thông qua đấu thầu lựa chọn nhà đầu tư thực hiện dự án có sử dụng đất; giao đất và giao rừng; cho thuê đất và cho thuê rừng; giao đất, cho thuê đất đồng thời giao khu vực biển để thực hiện hoạt động lấn biển (Cấp xã)",Đất đai,UBND tỉnh Quảng Ninh,Cấp xã,,,,,,,
368,1.115815,"Quảng Ninh - Sử dụng đất kết hợp đa mục đích, gia hạn phương án sử dụng đất kết hợp đa mục đích (Cấp xã)",Đất đai,UBND tỉnh Quảng Ninh,Cấp xã,,,,,,,
369,1.115824,Quảng Ninh - Tặng cho quyền sử dụng đất cho Nhà nước hoặc cộng đồng dân cư hoặc mở rộng đường giao thông,Đất đai,UBND tỉnh Quảng Ninh,Cấp xã,,,,,,,
370,1.115825,"Quảng Ninh - Đăng ký, cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất đối với trường hợp đã chuyển quyền sử dụng đất nhưng chưa thực hiện thủ tục chuyển quyền theo quy định",Đất đai,UBND tỉnh Quảng Ninh,Cấp xã,,,,,,,
371,1.115842,Quảng Ninh - Cấp Giấy chứng nhận đối với trường hợp quy định tại khoản 4 Điều 24 Nghị định số 101/2024/NĐ-CP,Đất đai,UBND tỉnh Quảng Ninh,Cấp xã,,,,,,,
372,1.115822,Quảng Ninh - Xác định lại diện tích đất ở theo quy định tại khoản 6 Điều 141 Luật Đất đai,Đất đai,UBND tỉnh Quảng Ninh,Cấp xã,,,,,,,
373,1.115843,Quảng Ninh - Xác định diện tích đất ở đối với trường hợp quy định tại điểm d khoản 2 Điều 20 Nghị định số 49/2026/NĐ-CP,Đất đai,UBND tỉnh Quảng Ninh,Cấp xã,,,,,,,
374,1.115827,"Quảng Ninh - Đăng ký, cấp Giấy chứng nhận đối với trường hợp cá nhân, hộ gia đình đã được cấp Giấy chứng nhận một phần diện tích vào loại đất ở trước ngày 01 tháng 7 năm 2004, phần diện tích còn lại của thửa đất chưa được cấp Giấy chứng nhận (Trường hợp người sử dụng đất có nhu cầu xác định lại diện tích đất ở theo quy định tại khoản 6 Điều 141 Luật Đất đai)",Đất đai,UBND tỉnh Quảng Ninh,Cấp xã,,,,,,,
375,1.115841,"Quảng Ninh - Đăng ký, cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất đối với toàn bộ diện tích đất đang sử dụng quy định tại khoản 2 Điều 24 Nghị định số 101/2024/NĐ-CP (trường hợp diện tích tăng thêm chưa cấp Giấy chứng nhận)",Đất đai,UBND tỉnh Quảng Ninh,Cấp xã,,,,,,,
376,1.115831,"Quảng Ninh - Thu hồi Giấy chứng nhận đã cấp lần đầu không đúng quy định của pháp luật đất đai do người sử dụng đất, chủ sở hữu tài sản gắn liền với đất phát hiện và cấp lại Giấy chứng nhận sau khi thu hồi",Đất đai,UBND tỉnh Quảng Ninh,Cấp xã,,,,,,,
377,1.115829,Quảng Ninh - Đính chính Giấy chứng nhận đã cấp (Cấp xã),Đất đai,UBND tỉnh Quảng Ninh,Cấp xã,,,,,,,
378,1.115812,"Quảng Ninh - Điều chỉnh quyết định giao đất, cho thuê đất, cho phép chuyển mục đích sử dụng đất (Cấp xã)",Đất đai,UBND tỉnh Quảng Ninh,Cấp xã,,,,,,,
379,1.115844,"Quảng Ninh - Cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất đối với trường hợp người sử dụng đất đã thực hiện chuyển đổi quyền sử dụng đất nông nghiệp theo phương án “dồn điền đổi thửa” được cơ quan có thẩm quyền phê duyệt trước ngày 01 tháng 8 năm 2024",Đất đai,UBND tỉnh Quảng Ninh,Cấp xã,,,,,,,
380,1.115860,Quảng Ninh - Chuyển mục đích sử dụng đất; chuyển hình thức sử dụng đất; gia hạn sử dụng đất khi hết thời hạn sử dụng đất; điều chỉnh thời hạn sử dụng đất của dự án đầu tư (Cấp xã),Đất đai,UBND tỉnh Quảng Ninh,Cấp xã,,,,,,,
381,1.115820,"Quảng Ninh - Đăng ký đất đai, tài sản gắn liền với đất, cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất lần đầu đối với hộ gia đình, cá nhân, cộng đồng dân cư, người gốc Việt Nam định cư ở nước ngoài",Đất đai,UBND tỉnh Quảng Ninh,Cấp xã,,,,,,,
382,1.115817,"Quảng Ninh - Đăng ký đất đai, tài sản gắn liền với đất, cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất lần đầu đối với tổ chức đang sử dụng đất (Cấp xã)",Đất đai,UBND tỉnh Quảng Ninh,Cấp xã,,,,,,,
383,1.115986,"Hỗ trợ kinh phí lập dự án, chi phí vận chuyển, lắp đặt máy móc, dây chuyên thiết bị vào cụm công nghiệp theo Nghị định số 32/2024/NĐ-CP của Chính phủ và chính sách hỗ trợ tại Nghị quyết số 05/2026/NQHĐND của HĐND tỉnh",Cụm công nghiệp,UBND tỉnh Quảng Ninh,Cấp xã,,,,,,,
384,1.014776,"Cấp, cấp lại mã số vùng trồng, mã số cơ sở đóng gói",Trồng trọt và bảo vệ thực vật,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
385,1.115950,"Công bố mở bến thủy nội địa, bến khách ngang sông, kết cấu hạ tầng đường thủy nội địa phục vụ thi công công trình, dự án và bến dân sinh",Hàng hải và đường thủy nội địa,Bộ Xây dựng,Cấp xã,,,,,,,
386,1.115949,"Công bố đóng cảng, bến thủy nội địa, khu neo đậu",Hàng hải và đường thủy nội địa,Bộ Xây dựng,Cấp xã,,,,,,,
387,3.000611,"Đánh giá, phân hạng sản phẩm OCOP",Kinh tế hợp tác và phát triển nông thôn,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
